City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Bukama,CD,2022-03-08 15:34:06,-9.2,25.85,76.62,88,71,3.31
170,Sambava,MG,2022-03-08 15:34:07,-14.2667,50.1667,76.05,95,100,8.7
171,Alofi,NU,2022-03-08 15:29:23,-19.0595,-169.9187,75.09,100,100,0.0
172,Qaqortoq,GL,2022-03-08 15:34:07,60.7167,-46.0333,14.5,60,11,4.94
173,Bengkulu,ID,2022-03-08 15:33:47,-3.8004,102.2655,77.4,84,100,3.69
174,Zelenoborskiy,RU,2022-03-08 15:34:08,66.845,32.3622,6.21,99,83,3.4
175,Honningsvag,NO,2022-03-08 15:34:08,70.9821,25.9704,35.35,87,75,23.02
176,Sabalgarh,IN,2022-03-08 15:34:08,26.25,77.4,75.83,24,70,4.03
177,Nhulunbuy,AU,2022-03-08 15:34:09,-12.2333,136.7667,83.01,83,93,5.75
178,Kishi,NG,2022-03-08 15:35:09,9.0833,3.85,99.28,23,8,1.7
179,Beitbridge,ZW,2022-03-08 15:35:09,-22.2167,30.0,90.32,33,13,19.71
180,Liverpool,GB,2022-03-08 15:33:34,53.4106,-2.9779,53.29,65,40,11.5
181,Constitucion,CL,2022-03-08 15:35:10,-35.3333,-72.4167,65.08,62,0,8.41
182,Sotnikovo,RU,2022-03-08 15:35:10,51.8845,107.4791,19.49,86,82,6.71
183,Maraa,BR,2022-03-08 15:35:10,-1.8333,-65.3667,70.36,99,100,2.42
184,Mizdah,LY,2022-03-08 15:35:11,31.4451,12.9801,56.25,55,97,12.35
185,Cabo San Lucas,MX,2022-03-08 15:35:11,22.8909,-109.9124,66.61,72,0,0.0
186,Vostok,RU,2022-03-08 15:35:11,46.4856,135.8833,6.58,98,72,4.63
187,Baruun-Urt,MN,2022-03-08 15:35:12,46.6806,113.2792,29.98,56,100,13.11
188,Ancud,CL,2022-03-08 15:35:12,-41.8697,-73.8203,53.13,82,100,20.27
189,Santiago Del Estero,AR,2022-03-08 15:35:13,-27.7951,-64.2615,67.51,94,100,4.36
190,La Libertad,EC,2022-03-08 15:35:13,-2.2333,-80.9,83.86,74,75,6.91
191,Oussouye,SN,2022-03-08 15:35:14,12.485,-16.5469,102.38,15,8,8.01
192,Marystown,CA,2022-03-08 15:35:14,47.1666,-55.1483,41.86,100,100,8.01
193,Aska,IN,2022-03-08 15:35:14,19.6061,84.6725,74.16,66,0,1.92
194,Bathsheba,BB,2022-03-08 15:35:15,13.2167,-59.5167,83.01,61,40,19.57
195,Quesnel,CA,2022-03-08 15:35:15,52.9999,-122.5029,21.7,63,0,10.36
196,Port Moresby,PG,2022-03-08 15:31:06,-9.4431,147.1797,74.62,100,40,4.61
197,Vardo,NO,2022-03-08 15:35:15,70.3705,31.1107,31.75,86,40,20.71
198,Belmonte,BR,2022-03-08 15:35:16,-15.8631,-38.8828,82.9,61,43,10.09
199,Muncar,ID,2022-03-08 15:35:16,-8.4333,114.3333,76.57,90,99,2.42
200,Tianpeng,CN,2022-03-08 15:35:17,30.9866,103.9393,61.27,66,6,4.7
201,Teya,RU,2022-03-08 15:35:17,60.3778,92.6267,10.33,89,100,10.27
202,Samarai,PG,2022-03-08 15:35:17,-10.6167,150.6667,82.76,79,83,8.57
203,Yanam,IN,2022-03-08 15:35:18,16.7333,82.2167,79.2,79,0,1.88
204,Batagay-Alyta,RU,2022-03-08 15:35:18,67.8006,130.4114,-28.28,93,72,4.9
205,Vestmannaeyjar,IS,2022-03-08 15:32:41,63.4427,-20.2734,45.59,76,75,35.68
206,Dikson,RU,2022-03-08 15:35:19,73.5069,80.5464,-27.38,100,56,7.52
207,Gweta,BW,2022-03-08 15:35:19,-20.1833,25.2333,83.79,44,75,6.78
208,Daru,PG,2022-03-08 15:35:19,-9.0763,143.2092,78.04,87,100,2.75
209,Presidencia Roque Saenz Pena,AR,2022-03-08 15:35:20,-26.7852,-60.4388,88.34,52,100,4.05
210,Esperance,AU,2022-03-08 15:35:20,-33.8667,121.9,64.24,77,9,16.67
211,Lagoa,PT,2022-03-08 15:35:20,39.05,-27.9833,59.85,87,100,36.71
212,Tecolutla,MX,2022-03-08 15:35:21,20.4833,-97.0167,66.06,87,100,8.68
213,Oxapampa,PE,2022-03-08 15:35:21,-10.5775,-75.4017,69.28,75,65,4.81
214,Iqaluit,CA,2022-03-08 15:35:21,63.7506,-68.5145,-4.27,65,75,11.5
215,Guerrero Negro,MX,2022-03-08 15:35:22,27.9769,-114.0611,61.25,30,0,6.08
216,Otradnoye,RU,2022-03-08 15:35:22,59.7775,30.8181,19.96,95,50,3.47
217,Cidreira,BR,2022-03-08 15:35:23,-30.1811,-50.2056,79.38,71,18,11.41
218,Saskylakh,RU,2022-03-08 15:35:23,71.9167,114.0833,-28.61,100,78,5.08
219,Pocao De Pedras,BR,2022-03-08 15:35:23,-4.6667,-44.85,86.59,65,75,3.04
220,Luanda,AO,2022-03-08 15:35:24,-8.8368,13.2343,86.0,70,20,12.66
221,Bam,IR,2022-03-08 15:32:46,29.106,58.357,70.72,31,98,9.08
222,Port Antonio,JM,2022-03-08 15:35:24,18.18,-76.4612,86.0,63,1,7.58
223,Yankton,US,2022-03-08 15:35:25,42.8711,-97.3973,28.65,64,0,9.22
224,Caravelas,BR,2022-03-08 15:35:25,-17.7125,-39.2481,84.25,60,8,9.35
225,Cherskiy,RU,2022-03-08 15:36:25,68.75,161.3,-12.95,96,85,1.16
226,Sikasso,ML,2022-03-08 15:36:26,10.9167,-7.0,100.8,8,3,6.55
227,Rawlins,US,2022-03-08 15:36:26,41.7911,-107.2387,19.62,73,20,16.11
228,Buraydah,SA,2022-03-08 15:36:27,26.326,43.975,79.25,17,100,12.77
229,Te Anau,NZ,2022-03-08 15:36:27,-45.4167,167.7167,55.15,93,95,1.32
230,Nioro,GM,2022-03-08 15:36:27,13.35,-15.75,100.87,8,65,9.28
231,Shingu,JP,2022-03-08 15:36:28,33.7333,135.9833,40.91,65,4,6.26
232,Blackwater,AU,2022-03-08 15:36:28,-23.5833,148.8833,80.06,74,11,8.05
233,Whyalla,AU,2022-03-08 15:33:02,-33.0333,137.5833,64.29,72,0,14.97
234,Biloela,AU,2022-03-08 15:36:29,-24.4167,150.5,76.37,91,1,5.01
235,Honiara,SB,2022-03-08 15:35:04,-9.4333,159.95,78.85,85,100,0.72
236,Abomsa,ET,2022-03-08 15:36:29,9.9833,39.9833,77.7,26,17,5.86
237,Upington,ZA,2022-03-08 15:36:29,-28.4478,21.2561,89.98,33,40,9.22
238,Port Blair,IN,2022-03-08 15:36:30,11.6667,92.75,80.64,78,40,0.0
239,Airai,TL,2022-03-08 15:36:30,-8.9266,125.4092,59.23,95,100,2.19
240,Narsaq,GL,2022-03-08 15:36:30,60.9167,-46.05,14.22,57,15,4.88
241,Jiazi,CN,2022-03-08 15:36:31,22.8779,116.067,59.25,67,0,12.41
242,Rio Gallegos,AR,2022-03-08 15:36:31,-51.6226,-69.2181,57.25,58,75,19.57
243,Luganville,VU,2022-03-08 15:36:31,-15.5333,167.1667,79.63,84,99,1.39
244,Evensk,RU,2022-03-08 15:36:32,61.95,159.2333,22.73,71,100,18.12
245,Grand-Santi,GF,2022-03-08 15:36:32,4.25,-54.3833,74.34,98,100,3.09
246,Meulaboh,ID,2022-03-08 15:36:33,4.1363,96.1285,75.31,94,100,5.39
247,Storslett,NO,2022-03-08 15:36:33,69.7678,21.0247,32.0,59,20,9.22
248,Aleksandrovsk-Sakhalinskiy,RU,2022-03-08 15:36:33,50.8975,142.1561,15.85,96,100,6.53
249,Salalah,OM,2022-03-08 15:36:34,17.0151,54.0924,78.89,61,0,6.91
250,Ribeira Grande,PT,2022-03-08 15:36:34,38.5167,-28.7,63.0,82,75,33.38
251,Susanville,US,2022-03-08 15:36:34,40.4163,-120.653,32.81,74,0,0.0
252,Hamilton,US,2022-03-08 15:35:26,39.1834,-84.5333,39.36,66,100,3.44
253,Erice,IT,2022-03-08 15:36:35,38.037,12.5865,46.31,62,40,17.27
254,Ukiah,US,2022-03-08 15:36:35,39.1502,-123.2078,60.03,75,0,3.44
255,Port Lincoln,AU,2022-03-08 15:36:35,-34.7333,135.8667,60.12,69,11,18.43
256,Bethel,US,2022-03-08 15:36:36,41.3712,-73.414,43.48,50,75,17.27
257,Le Port,RE,2022-03-08 15:36:36,-20.9373,55.2919,80.6,81,80,6.33
258,Lhokseumawe,ID,2022-03-08 15:36:37,5.1801,97.1507,77.45,87,90,4.05
259,Bundaberg,AU,2022-03-08 15:32:19,-24.85,152.35,81.21,97,100,10.36
260,Ransang,PH,2022-03-08 15:36:37,8.9603,117.5828,77.94,89,42,8.21
261,Xining,CN,2022-03-08 15:36:37,36.6167,101.7667,46.45,32,89,1.77
262,Lieksa,FI,2022-03-08 15:36:38,63.3167,30.0167,16.74,95,100,6.13
263,Torbay,CA,2022-03-08 15:35:31,47.6666,-52.7314,40.28,97,100,26.46
264,Kloulklubed,PW,2022-03-08 15:36:38,7.0419,134.2556,75.7,76,92,8.28
265,Greenville,US,2022-03-08 15:34:25,35.6127,-77.3663,64.33,46,100,10.36
266,Tondano,ID,2022-03-08 15:36:39,1.3038,124.9112,68.09,92,93,1.97
267,Mandalgovi,MN,2022-03-08 15:37:39,45.7625,106.2708,33.89,37,87,8.99
268,Tegh,AM,2022-03-08 15:37:39,39.5579,46.4772,40.12,54,58,4.36
269,Gazojak,TM,2022-03-08 15:37:40,41.1875,61.4036,47.84,60,100,11.36
270,Khlung,TH,2022-03-08 15:37:40,12.4547,102.2214,85.03,100,100,1.52
271,Leninsk,RU,2022-03-08 15:37:40,48.7119,45.1994,31.86,88,100,6.38
272,Chuka,KE,2022-03-08 15:37:41,-0.3332,37.6459,72.41,50,54,5.86
273,Saquarema,BR,2022-03-08 15:37:41,-22.92,-42.5103,91.42,60,46,10.83
274,Sechura,PE,2022-03-08 15:37:41,-5.5569,-80.8222,84.15,53,66,2.44
275,Kavieng,PG,2022-03-08 15:37:42,-2.5744,150.7967,81.66,77,66,11.18
276,Rawson,AR,2022-03-08 15:37:42,-43.3002,-65.1023,80.22,19,23,34.99
277,Pangnirtung,CA,2022-03-08 15:37:42,66.1451,-65.7125,-2.2,78,100,3.44
278,Almeirim,BR,2022-03-08 15:37:43,-1.5233,-52.5817,82.99,75,93,5.23
279,Avera,US,2022-03-08 15:37:43,33.194,-82.5271,64.94,46,94,4.63
280,Gasa,PS,2022-03-08 15:32:44,31.5,34.4667,66.9,75,33,11.36
281,Vilyuysk,RU,2022-03-08 15:37:44,63.7553,121.6247,-22.76,100,32,1.83
282,Ahipara,NZ,2022-03-08 15:37:44,-35.1667,173.1667,64.27,82,25,7.43
283,Bandarbeyla,SO,2022-03-08 15:37:44,9.4942,50.8122,77.31,66,27,10.65
284,Sitka,US,2022-03-08 15:37:45,57.0531,-135.33,31.89,64,20,0.0
285,Sidoarjo,ID,2022-03-08 15:37:45,-7.4478,112.7183,81.05,94,20,5.75
286,Karratha,AU,2022-03-08 15:37:45,-20.7377,116.8463,87.67,48,40,10.63
287,Teknaf,BD,2022-03-08 15:37:46,20.8624,92.3058,72.34,70,0,3.94
288,Lavrentiya,RU,2022-03-08 15:37:46,65.5833,-171.0,5.94,80,9,5.44
289,Energeticheskiy,KZ,2022-03-08 15:37:46,43.4278,77.0222,41.56,75,100,4.47
290,Deputatskiy,RU,2022-03-08 15:37:47,69.3,139.9,-31.29,100,17,2.15
291,Sainte-Rose,GP,2022-03-08 15:37:47,16.3324,-61.6979,84.24,61,75,14.97
292,Sabha,LY,2022-03-08 15:37:47,27.0377,14.4283,71.98,28,0,17.92
293,Lebu,CL,2022-03-08 15:37:48,-37.6167,-73.65,61.59,77,84,16.31
